Albedo 0xac652e43
TexEmissiveColor 0xf43161b8
Direction 0x9758bd47
SampMinimapBaseColor 0x7009df46
SampCliffsTarget 0x80a5a555
TexGalaxyStars 0x27f14d9a
TexColorTintLookup 0xc40aec7c
SampMinimapNormalWetness 0x87030723
UsePalette 0xa98a48d3
PaletteGradCavityContrast 0xbaa5e57d
LodLevels 0xa89c1490
TexNmsTex 0xbdefa7ad
TexIlluminateDotsTexture 0x7f098ba1
BulgeFalloff 0xd4a7a01f
OverlayHeightMask 0xdfd24e25
WorldOverlayRmetallic 0x9926debe
NebulaScale 0xfcb2b86c
RoughnessBase 0x4dec56f9
TexMasktexture 0x245f02d2
LightFalloffEnd 0xd8fc29dd
MaskTile 0xf3c900db
DetailTile 0x4d0e6d2a
BloodOverlayMetallic 0x728d3fa1
SampColorRoughnessLut 0xbe03dccd
BlurSubdermal 0x3a4d1447
TexFillTexture 0xcc64ba39
PrimaryColorVariationGreenChannel 0x584f007d
TexCloudMask 0x8488d28f
CsClusterSizes 0x56a5852
SampNormalMap 0x798272e0
WingSpeed 0x4fc400d5
TexOffsetNoise 0x6cf2ddb4
ColorMultMin 0xda0df60a
AssetColorGradingLut 0x2180e609
ColorVariation 0xcd76e441
TexClosestReflectionMap 0xe7a183a2
LumRemapLow 0x273a2bf9
TexBaseNormalAoSubsurface 0xd5722f19
GlowFalloff 0x90f8ff9e
VertexOffsetNoiseScale 0xbb782d13
TexWearMask 0x135abf4a
TextureHasNoAlpha 0xa35d5833
ColorRim 0x4765c03b
LowHealth 0xa99194f9
TexDataTex 0xb80f490c
EndFadeMax 0x57e7b739
ShadowOffset 0xe13777ce
UseHitData 0xf1ff10ad
EllipseExp 0xa6facdc9
TexBlackHoleNoise 0xd6da9179
CameraViewProjection 0x97e710f
TexShipVideoTextureB 0x4ca33d1
UvGradient 0xc578ee1c
TexBaseNormalAoDirt 0xc2cff5ce
TraceBoxMin 0x831bd77c
InteresectDistanceMult 0x7a817610
PaletteGradMax 0x7856e3c1
HologramSphere 0xdff8461c
SvTessfactor 0x29246d65
WorldOverlayNormalBlend 0xeeb716ed
FuzzColor 0x1d00960d
TexColorRoughness 0xea4fecfc
ScenarioOverlayAmountLeft 0xad9c2826
GlobalRainAmount 0x869dcf00
TexGradientTexture 0xf52ff70d
PlxHeightEdges 0x44d73297
SampVertexNormalMap 0x55d2a39
TexCapeLut 0xd7e01947
WeatherEffectColorLerp 0x552b4e87
WeatheringCoverageThickness 0x6408a9ab
TexReflectionMap 0x4597f8a8
GlassRoughness 0xbc1cae70
NoiseFresnelExp 0xf13a78c8
TexTriplanarDetailAlbedo 0xf74e3ecc
TexMinimapSubsurfaceColor 0x2db50cf4
TexClothDetailNormal 0x49dd8b5f
SampPerlinNoise 0x577b4dde
BillboardFinalDistance 0x72723801
TexTextureGrayscaleMap 0x3aa5f4af
SampBasemapLowlands 0x907dbfa0
SampleTerrain 0x24c37b60
TexAnteriorChamberHeightmap 0x7865e42
ScenarioOverlayColor 0xbe05f278
FadeBothEnds 0x376ce975
StartGlowAmount 0x60a88101
UseFadeStart 0x86c1cb0b
ProceduralMask 0x5bb054d6
RockaAPalette 0xefdc9681
Gkxnwy 0x382aeecc
UseDistanceScale 0xf4a62648
TextureOpacityMin 0x483d4d42
IsOpaque 0xfd912c17
GrungeTile 0xe7f6295b
BugGunkWeightsNegative 0x3718e59
TexAlbedoBlendTex 0x2a7e88e5
SampTextureRgbaMap 0xddd9b75c
FrequencySpeed 0x38c2395c
GSpeed 0x7ea2e858
ScreenSpaceEffectScaleMode 0xb2a40e1d
OffsetMultEnd 0xc4d46a52
EllipseMask 0x73b5fc89
CsShadowAtlasSize 0xbfd8646e
AddRoundNrm 0x44316d39
MaskSpeed 0xc4cc045e
MetalContainsPackedFabricMask 0x2828f22e
OutNormal 0x6cac94bb
Multiply 0xa32bdf8
SkinWeightOverrides 0x4a8d7d70
EnergyExpDistance 0x3e65eacd
SubusrafaceIntensity 0x3426b6a1
SampSweepTexture 0x4a54e58
DistScaleOffset 0xd1dc7ec0
FogBackscatterPhase 0x64b4686
RimIntensity 0x55ad7ec8
SampWindVectorField 0xc27f236f
SampGeneratedHeightmapProperties 0xc4759636
CausticsDistance 0xa742ce0
ScenarioOverlayAmountUp 0xbd68091d
SampRipplesTiler 0xb86412df
PupilSize 0x35e9f85
CircleIndices 0xec1926ad
InvView 0x35bfe42f
GlassTint 0xfcc2d851
TexDistortionTex 0x888ca9e1
SpeedLinesMult 0x2b79ec65
ReticleOpacity 0x21ae1ffc
TexWoundNormal 0x2b45a737
TexFlickerTex 0x5b73a31e
UseMainUvs 0xf226a5a5
SampFogVolumeBlobTexture 0xf21d8f4d
SineColorAmount 0x97260388
UseRoughnessMap 0x73e970ba
RoughnessVal 0x87b80d80
SampMasktexture 0x6313f3f0
PrimaryMaterialAlbedoInvScale 0xa7ad36aa
DropSelectOutsideMapOpacity 0x5904f5c
NoiseSpeed 0x6ea1845
SnowGlintIntensity 0xf9304e5b
BottomAmount 0x442f3e17
ScleraSssIntensity 0xe2ba0619
SampGrayscaleSkin 0x21814023
PanSpeed 0x9e9561e0
ManualId 0xb74039ef
WideBase 0x24322deb
WaveSize 0x333d7a04
FlipV 0x6e02f2fb
UseFadeHarshness 0x7ebafcd
TexMinimapBaseColor 0x6a93ec39
MinDistFade 0xdd3a471f
BaseColorIsEmissive 0x5a5c3b7
FogBackscatterLerp 0x5bcce04d
UvGradientExp 0x1ead13f3
TexBgtexture 0x151dc3ce
InnerGlowIntensity 0xc7936c9
ImpTransparentOverride 0x795a98fb
SampSurveyQrCode 0x4951f635
ScenarioMaskRightHeight 0x12d64c7e
VeinsSize 0x2a2fbb71
SunDirection 0x93b47324
SineVertexOffset 0x273d6842
LuminosityExp 0x62c3f8ad
ConcreteTiling 0xdf09f04f
TexGeneratedHeightmap 0xf9491ac7
OpacityExpBottom 0xe7b582da
TexErodeMap 0x78f277b0
UvPinchMin 0x35d92cc8
DistOffset 0x4f3d4be4
NoiseSineSpeed 0x5488bbe2
WorldOverlayRoughness 0x97d2bc95
MudWetness 0x8da7875c
RoughnessSurface 0xd74658ef
PanErode 0x92801510
IsMeteorite 0xad903221
LensEmissiveColor 0xc92c1af4
MinThreshold 0x59c9c080
DirtScale 0x4529da32
BloodWeightsPositive 0x955ef2e
TemporaryEmissiveRemapRange 0x32c02400
HarshAlphaFade 0xa8b2ff1f
SampHeightmapHighlands 0x53de3a93
TexWear 0x79833c48
ReticuleOffset 0x81da74f8
SmoothstepSoftness 0x6f101ae5
SpeedLinesTile 0x39b35d0e
CsActive 0xea7a0a15
EyeColor 0xe2632763
SampUiVideoTextureY 0x8736aaa6
ColorMultMax 0xbb10b831
MaskRadius 0x3186e63e
Invisible 0x7f27f46a
InvertOffsetTex 0xde93b114
PrimaryColorVariationBlueChannel 0x403610a6
LocalspaceDirection 0xbe91db7b
AddEmissiveness 0xa0b309ed
TexDataTexture 0xd3104777
SampErodeMap 0xe2b525a9
CAtmosphereCommon 0xf0124e19
UseMultNotAdd 0xe452a8ae
EmissiveUvdirection 0x3412359b
BloodMaskRightOpacity 0x6afd1073
TexBlackHoleLut 0xecc476bc
ConeAngleSizeExponent 0x70e4f7bc
SunCol 0xa926caa
Animated 0x3b45976
IrFresnel 0x2aa08dab
PaletteGradMin 0xb6254b6e
EdgeMaskMin 0x94e780cf
OpacityCore 0x19618106
OutFuzzColor 0x111c03ac
EndColor 0xafadbc5e
EdgeFadeTint 0x963ca93
BloodOverlayAmountUp 0x68d926c7
TimeGlobalMult 0x67e92873
SunShadowsEnabled 0x97c21e94
TexCloakingNoise 0x3870d3af
SvTarget 0x2e93b967
ScenarioOverlayMetallic 0x3cac57e3
SampErodeTexture 0x5685b575
SampContinentsLut 0xc387d596
TexIdMasksArray 0xb778c62a
UseAssetGrading 0x4cc075fe
TexMre 0x7fb24baf
Curvature 0x3439930a
ScenarioMaskBackwardHeight 0x847b2552
SmokeColorSecondary 0xb4138578
MudOverlayInvScale 0x6adbfb7f
NormalStrenght 0xd19e4f3c
HeightFeathering 0x2b5dbb45
InteriorRadius 0x7653b874
TexCompositeArray 0x98c25818
Shexli 0x6decbd10
EmissiveColorContrast 0x90070c08
PivotOffset 0x87b4ef45
SampDistTex 0xdeb3f099
WaveTimingOffset 0x718da3ae
IrisSize 0xfeabd049
CSpeedtree 0xfdfbde3a
AlertFlashRate 0x8b11a1df
TexHeightNoise 0x2cc3032f
SampDisplacementTex 0x4a3f953c
Farmax 0x40a8fa6f
LensOcclusionEnabled 0x7b23bc15
DarkenMin 0x32771b65
Turbidity 0x8cda5220
SampPaletteLut 0xa0dd84df
InnerGlowColor 0xb38572b7
TexTextureRgbaMap 0x331ff463
TonemapB 0x9f1df561
TexGeneratedWaterReplaceLookup 0x5f5df31c
CameraLastView 0x5f86293b
SampNormalMapWithAlpha 0xdbb229f0
TexSpecularBrdfLut 0x90e3d060
OverlayBlend 0x959daa91
SampTerrainBlendingData 0x32fea9b5
OutBaseColor 0xcd06a8f9
ShieldHits 0xe7b3fcde
TexInputImage 0x3b0fb82f
PrimaryColorVariationMetallicBlend 0xb45f616b
RadialUvAmount 0x597e9fa4
FresnelPower 0xec00ece8
SampTextureMap 0xb9138cd2
ClearcoatVertNormBlend 0xdc912ae5
AlbedoIntensityRock 0x77e7c10
ScenarioOverlayInvScale 0xc4d8ffdd
WetnessMinOpacity 0x7f97d107
TexDistress 0x9df7223b
SampMinimapMetallicSubsurfaceRoughnessSpecular 0x6d51b508
RayleighBeta 0xbc7e6abb
ImpTileBuffer 0xb6ea8795
SubusrafaceWrap 0xf391bd70
TexOffsetTexture 0x36d14ea4
EnergyDistortionLinesSpeed 0x4058ae3c
SampNoiseArray 0x7e57ff64
DistScaleMax 0x2680b90e
EmissiveIntensity 0x2f6dc5b
ScrollSpeedV 0x97d03233
ErodeMin 0xa62f7c68
SampTextureLut 0x5f3764cd
TimeSpeed 0x56b17ae
WeatheringDirtColor 0x9dcc2fe
Blendindices 0x5f29e5b9
SampBlackHoleNoise 0x8c4c34ed
FogAmbientDuringTransitionColorBoost 0x9f9696c9
TexPrimaryColorVariationNormalMr 0x61e89fc
SampFlatteningLookup 0x27b0957
SampMinimapHeightmap 0xdbfc593f
MinMult 0x6b3e4202
SampFillTexture 0x8b841822
FlipLifetime 0xe3d1a38d
SinusOuterWidth 0x9bdbea2d
RimPower 0xabfb240
TexConcreteSampler 0x5877d91e
DropSelectGridAoIntensity 0x19313dbd
SampPlayercardTexture 0x37b94447
SampCctvFeed 0xdfb9404c
FixDistScale 0x9bc2cd91
TopAmount 0x5b17cd65
TexBhNoise 0xd4cd0e61
SampSnowMaskTexture 0x6e08b36e
WindOptions 0xf3feb548
LightColor 0x271da2bf
CameraNearFar 0xcdf7c2bf
ScaleMaxDistance 0x7a21f396
Shexpm 0xe7c373fc
StartGlowMax 0x94698e99
WobbleStr 0xbdbdc601
HologramFadePower 0x8ea35c7d
BIsAlpha 0xf2b478b7
OutsideRadius 0x9ab9ee1e
SpecIntensity 0x934dfdf3
JumpHeight 0x6a720144
TexAlbedo 0xf65ce1d2
TexWeatheringAlbedo 0x736ce979
TexDamageTilerData 0xd5e7dd8b
Cbillboard 0xbf644f71
Windintensity 0xbfc925b9
SampEmissivePack 0x7ebd61c5
UseScrollingOpacity 0x72441fef
Minscale 0xe071b412
SpecRoughOverrider 0x4ddf6e7f
SampGlobalDiffuseMap 0x7e3bd117
BadgeIndex 0x173ba66c
DistortionAtlas 0xd82948cd
TexMaskAtlasTex 0x1a08f94e
WobbleFreq 0x68c6cd97
SampSmokePack 0xaca6388a
TexUiSpecularCubemap 0x6ac87e3d
TexMask 0x6acc1b28
SampLocalLightsShadowAtlas 0xa1a17a5f
TexGasGiantLookup 0xd9911863
SampOffsetNoise 0x8496845
TexUiVideoTextureR 0x8baa19c6
TexNar 0x413c1354
LumExp 0x1ebec9a8
UnclampedDistScale 0x19dab885
TexSdf 0x214d20c3
Shexxd 0x3fdae75b
InteriorFalloff 0xacb93578
TexTerrainTrample 0x5eca494c
TexMaterialTiler 0xfd8501b3
BitmaskToggleEnabled 0x4a6796c6
ColorGradCutoff 0xad5a9c6a
SnowGlintRoughness 0x25d479ad
LuminosityMax 0x81c226f5
ParallaxHeight 0x4d299d6e
FibonacciNormalLut 0xb417be01
UseAnglefade 0xe0b18bbe
ScenarioMaskLeftOpacity 0xc8d41f29
ClearcoatRoughnessTextureless 0x4755d916
SampWearMask 0xb03cea10
CWind 0x7963e882
RibbonSizeOffset 0x1083ad2a
LightProxyScale 0x3ae0c364
FlipbookStartTimeOffset 0xaf79725a
LightSpotAngleEnd 0x4442a545
LateAlphaMult 0x40fd49ec
TexLutEmissive 0x9a876f4d
CameraView 0x6a30b459
DebugLod 0xeb4b80a1
RainColor 0x630a2468
TexMetallicMap 0x29da281e
UpDown 0xe74b4b38
FlipbookStartTime 0xc0372b9b
SampTextureGrayscaleMap 0x1bf891f0
Shexpx 0x387d3224
DropSelectGridGlowCurve 0xd27252d5
FresnelInt 0xa29d2051
FarFadeDistance 0xe7f22d44
TexAtmosphericScatteringTransmittance 0xe75e953
SampNar 0x60ec0387
SampBasemapHighlands 0xea4d22ca
RainDirection 0x6f17f029
UvPinchExp 0xc96e32bb
TexNormalMapWithAlpha 0xdaa8f2ad
BaseRoughness 0x40c3672d
FadeSmoothstepMin 0x89f832c3
AtmosphereLightDirection 0x7eacbff2
TexSpecIriIntensityIriThicknessMap 0x85f4dff2
MudOverlayHeightMaskFade 0x211baddc
IridescenceIntensity 0x66a6af93
DropSelectNrLines 0xd3157e04
SampRoadDataStrip 0x570b76b6
TexWoundDerivative 0xa55aca8e
ErodeTile 0xd6da5019
TexWearMra 0xa271d663
HologramPosition 0x5ef611e1
DepthFresnel 0x8cb3e6e6
MaskAmount 0x2b05a103
WorldOverlayColor 0x5d11515e
TrampleFootstepMipBlur 0x8fe34f0
DropSelectGridAoWidth 0xb845b2ea
TexHeightmapLowlands 0x488950b8
SampMask 0xbc7e2514
RSpeed 0x4d863b24
NearScale 0xb2bf58e9
SampLinearDepth 0xe55e2928
TrackSpeed 0x22faa9c8
Rhmxql 0xe1f6b271
FlareLampArea 0xb7e899e
SPosition 0x236df5a9
ScenarioMaskForwardOpacity 0x8bc86b72
CameraFacingMatrix 0x8c216dba
InteriorMin 0x1e7d392d
DistanceScale 0x61abc62a
TriplanarMaskSharpen 0xc9a0b54
HologramNoFadeDistance 0xe20ef381
SampAlbedoTex 0xd571ce9c
BSpeed 0x2af39e30
SampCompositeArray 0x19a96d70
FogColor 0x67be31ec
TexDistressTexture 0xbf044c95
TexNoiseTexture 0xe9e20aa4
SampMoonLut 0xcc2e69d2
TexBaseColorScrolled 0x42513218
DetailSpeed 0x8b187128
SwirlAmount 0xc2e0b430
GotBakedShadowOpacity 0xbb178741
ConcreteSecondarycolor 0x2278ccae
TexAlbedoIridescence 0xf27e239f
ROffsetMaster 0xa616810b
ToneVariation 0x575f7f6e
WaterColorLerp 0x7bad2633
MeteoriteSpeed 0xa446ffc4
EnemyPresencePoints 0xa944b695
DistanceOffset 0xa7e0075e
EmissiveControls 0x7d672bb
OutMacroAo 0x5433eaf
TexRipplesTiler 0x7017ea48
IridescenceStart 0xbfc9ad95
CHologramLightingCommon 0xb3d10ef6
SampBcaTex 0xa710ef79
TentacleWiggleOffset 0x1ac362be
OffsetTopFadeTighten 0xe290669b
TilingBubbles 0x6290f96a
GOffsetMin 0xa18a2744
JumpSpeed 0x92e3115b
FadeNear 0x761c1b72
NoiseFresnelMin 0xe0a06d64
IsLoopUvs 0xf84d1a18
CsClusterMaxDepthInvMaxDepth 0xa2a89e2a
SssMult 0x3c1bcab6
SubsurfaceBase 0xaf0d37b5
TipWidth 0xe27129d2
TexFlatteningLookup 0xe1005b7
WindowCountWidth 0x4df8b73e
TexTexNormals 0x4a6ecaa1
MaskOpacity 0x67c50a28
FlickerLow 0xf6c73809
SampAlbedoFlag 0xf7c1dd36
SubsurfaceRim 0x476a9982
ScenarioOverlayAmountForward 0xeb48f9e5
CameraInvProjection 0xa2c5876b
UseClearcoatMap 0x4336f494
MinRemap 0x93230188
FlapHeight 0x8fd22114
BurnThicknessMult 0x85e1986
AtlasSize 0xdcd9a22e
TexTerrainBlendingData 0xf992a04f
FadeOffset 0x2426a7ff
PathGradientScale 0xadc0538
SineVertexSpeed 0xd05a5bd2
Smooth 0x4ac2f91e
EmissiveIntersectDistance 0x6a48bafa
TexScreenVideoTextureR 0x860ea38c
OffsetBottomFadeTighten 0x9fde37ae
TexSmokePack 0xdab92060
DetailNormal 0x405faffe
SampClearcoatRoughnessAoSpec 0x15bf7f70
MixElements 0x889a65fe
MaxOpac 0x9b9b4ba4
SampNormalXyAoRoughMap 0x51e3429e
InnerMultLow 0x2b01e8ca
SampBlockerMaskTarget 0x3521b4fa
IrisLutCurve 0x8935ea41
NoiseMultLow 0xd0855995
SwitchUvspaceLocalspace 0x1a8535f4
UseMetallicMap 0xa6d8ed4b
TailSpeed 0xb898c40d
DropSelectGridGlowIntensity 0x2e35dc5c
SampNormalSpecularAo 0x6e0809f4
Blendweights 0x4cdc2bab
UseCamFade 0xc9eaf937
SampGeneratedMinimapSlot 0xa502b36f
DeltaTime 0x53e3339e
LoopingAnimation 0x898abb36
TexAtlasTex 0x3f4d6b13
TexGeneratedMinimapSlot 0xd9af8094
TexGeneratedHeightmapPropertiesHeight 0xe00cac97
SampMrae 0x1dc0c197
FresnelMax 0x77bcd445
UvRotationAngle 0x6868272c
WorldOverlayInvScale 0x9671820d
TimeOfDayOverridesEnabled 0x1f3d37a9
TexUiVideoTextureY 0x1811d7d3
SpeedUpDown 0xcfe8c5f6
NoiseFreq 0x84844310
HologramDistortionFactor 0x969f9362
TexEyeLut 0xed048996
DropSelectOutlineBorderIntensity 0x18bea1da
WeatherColorLerp 0x1e3da8ac
CutoffOverLife 0xa422ac7d
UnderlightFade 0x8bf5e59d
TexGeneratedTerrainAlbedo 0x491d196f
TexGrungeMask 0x47a616e3
RadialDistortion 0xe89e4caf
TexGlassData 0xe95c672
SampLocalLightsShadowAtlasCmp 0xbe6c7170
TerrainBlendMultiplier 0x7031167f
Tangent 0xe32e5a9d
BasePanning 0x11963cc7
SampTerrainHeightMask 0xab497f64
CsLightDataSize 0x16622f2f
TexBaseMap 0xcbd415fb
PrimaryColorVariationRoughnessBlend 0x5e6ddd1b
SampPackMap 0xaab3dcb
PrimaryColorVariationRedChannel 0xa11cb431
ColorStart 0x857834e7
TexBaseData 0x82a5877e
RoundMaskFalloff 0xcd288161
Position 0x3ffeabd6
ScenarioMaskFadeDistance 0x6b28cdbd
Metalness 0xb889ab09
SvVertexid 0xba418869
TexSubsurfaceOpacity 0x9dfee7bd
TexBaseColorMetalMap 0x8bae5fb0
SizeMult 0x8abc392c
UseAo 0x54a7f11f
PxRange 0x337731ec
SampScatterDensityMap 0x5ef160fa
AlphaSubMult 0x143bf7a5
ParticleColor 0xb0878b68
WindState 0xdd63c284
OffsetFadeSmoothstepMax 0xc49addcb
FlippedSpecWeight 0xd05487f4
RibbonTangentOffset 0x29296871
Farmin 0x9a5df839
WaveGradient 0x844d46eb
TrampleAmount 0xe76b081
SnowNormalMask 0x34f906a
FogLightPollution 0xd320b152
EmissiveMultiplier 0x519c1733
NoiseSharpness 0x44ca76e
SampBluenoiseTexture 0xe5839524
AnteriorChamberNormalIntensity 0x311b093c
SineOpacityAmount 0x8511134c
SampTexNormals 0x1d741e31
FresnelOpacityMult 0xe6d5b8d2
AddFlicker 0xd49a88a9
DistFadeExp 0x90fe9c22
SecondaryColorVariationBlueChannel 0xb1c7a612
SampGeneratedMaterials 0x6aba5b04
TexCoveringNormal 0xf27e7165
FresnelColor 0xcd3cb392
TexNormal 0x6b6e6664
SampGasGiantLookup 0x4738317f
CsLightIndexDataSize 0xfcdf2ffd
UnderlightColor 0xd8ef7a57
SampScreenVideoTextureY 0xf3f42b1d
Shexpe 0xd85d8bbe
Depthfade 0x510e1fc0
SnowSubsurfaceIntensity 0x9bcd24be
TexFlattenTexture 0xebc8dab8
TexGalaxyShape 0x11c909ab
EnemyPresenceColorOpacity 0x6a3c4030
TexPatternData 0xded19168
TexEmissive 0x11e09cb0
UnderlightExp 0xe800b150
ScaleDist 0xb1658557
SampBloodLut 0xc0c4c463
LuminocityMult 0x4ebee212
SampDetailMask 0x5cc6072d
Porosity 0xe045bc57
ProgressBar 0xe139131e
MinimapPresence 0x7c35a5f
UseBackColor 0x71287aa5
SampOpacityMap 0xdf328c51
TentacleWiggleFreq 0xc80aa8c9
SnowRoughness 0xe8fc1cd3
SampGradientTexture 0x97b6a4ee
TexWeatheringNar 0x11480739
SampMinimapSubsurfaceColor 0x5a1fe905
OpacityExpTop 0x98840d02
SampBaseColorScrolled 0xbf810107
EmissiveOn 0x25a6376
SampVistaDetailNar 0xac110fc4
DistortionNoise 0xd3c91483
TexOpacityMap 0x3b13ae4e
HologramPlanetSunColor 0xf2dded38
SinNoiseMult 0xc4068998
RFreq 0x3a5ecabf
TexPerlinNoise 0x61ac0aab
DistortionLarge 0x481ce23
TexPatternLut 0x9d6469f
SvPosition 0xdc0548bc
SurfaceTiling 0xbffa7ef8
FlipbookRows 0x7cdcdab5
FlipFresnel 0x7d1232da
InnerRadius 0x90572768
OutSubsurfaceIntensity 0xc0014d68
AoMax 0xef2759ab
TexMinimapRoutes 0xc6235816
TexSnowGlintsTiler 0x30a9e275
FrameRoughness 0x8aec2089
TexDepthColorLookup 0xe1ce2ede
HologramLowerUpperBounds 0x91575bd3
TexWaterHeight 0xf46f4655
TexPackMap 0xf8d8152e
TexDetailNormalPorcelain 0x7e64e9ef
GreyscaleChannel 0xa9ab4064
TexAoMap 0x9f1404c3
SpecularTextureless 0xd327a56b
ColorDamagedMult 0x351553a7
FlareNoiseSpeed 0xb8f99c3
CameraInvView 0xf596e8d8
TexWaterTarget 0x511ca21d
SampColorSpecularB 0xbd3b47ee
TailHeight 0xda2a6f4d
NormalInfluence 0xbf3b6e74
NumRibbonTrailParticles 0x609fed9a
Animateflipbook 0x4faf7b0a
MaskAdd 0x282d73a
RowsAndColumns 0x6f522576
DepthDistanceFade 0x928d624f
DistTexAdd 0x523951eb
TexDisplacementTex 0x4707fa5c
SampGeneratedPerZoneShaderInput 0xa92c8525
SampGalaxyStars 0xa2304924
BloodOverlayColor 0x43975d2f
MaxDistFade 0x79e727d
RoughnessMin 0xf3757bd3
SampEmissiveTexture 0xd0c587fc
LuminosityMin 0x44098d33
EmissiveMixed 0xc277d0c7
TexGeneratedMinimap 0xc8f59cb4
SampCapeGradient 0xb069a8bc
ColorTintIndices 0xad37079a
SampleTerrainColor 0xd5febcfb
SampShadowOpacity 0x380e11dd
MetallicCuravture 0x65a0ab10
SnowCoverageMax 0xa14a98f6
SampDetailTex 0xc2a0b3d2
VertexAoMax 0xebd743cc
UseClothDetailTiler 0xada6c840
TexSweepTex 0x41b6e003
TexUvNoiseTex 0x5b342722
BloodOverlayAmountLeft 0x5b3fcc63
OffsetFadeAmount 0xef9fe6ff
WindowCountHeight 0x2b0130c7
TexGeneratedHeightmapF 0xd566398f
CloudStartHeight 0xafc15a88
ErodeChannel 0xffb2e9fc
ColorMin 0xfb46e2a7
WaterDeepTint 0x84943d7e
SampMotionVectors 0xae359884
CsLightDataBuffer 0x73de4d6a
TexNormals 0xf0af22a3
AxisPadding 0xd951bd4
SecondaryColorVariationRedChannel 0xbce4f83
BloodOverlayNormalBlend 0x22b4b95
SampBloodTiler 0x22b64552
PrimaryMaterialUseAlphaAlbedo 0x155363d9
TexDamageTilerDerivatives 0xeb1c4603
DropSelectGridOpacity 0x66f19616
TexVertexNormalMap 0xe58074e2
BloodNormalFade 0xc4b94a3
TexTexturePack 0x47d485ab
FlashIntensity 0xa73a394a
EnergyDistortionLinesTile 0x589709bc
SampEyeLut 0xa3436d34
TexTriplanarDetailData 0x2fd40be1
JumpExp 0x8f8da692
DistScaleMin 0x392725d3
ScenarioOverlayNormalBlend 0xc940e7f9
SampParallaxMap 0x11c40f38
RimExp 0x2968d76e
ColorDamaged 0xf7a19ea6
SecondaryMaterialNormalMr 0xf0e2f5ff
DistanceScaleDistance 0x982c842c
MovementOffset 0xf5ec7b2b
EmissiveThickness 0x7be2d3ae
ParallaxFresnel 0xc47679ff
IrisColorVariation 0xfadb27ad
EmissivenessBase 0x8e0823b
LightsourceAngularSize 0x4fe73a30
TexAnteriorChamberNormal 0xa59d746f
TexCraterTexture 0xa61f3508
TexShipVideoTextureR 0xe3c45023
RChannelAlpha 0x59b51038
TexTexMask 0x17285146
PivotLocation 0xa5fc4d66
NoTaaHistoryIntensity 0xd45c276
BloodMaskForwardOpacity 0xd43aecf6
NormalTile 0x996d3b52
ViewProj 0x57cbaec2
TexNoiseNormal 0x854e5815
UseOpacityMap 0xf75c5e2b
SampSunShadowMap 0x8910ddf0
SnowPerZoneDisabling 0xa3201b6
CPerObject 0xb5639618
SampLensCutoutTexture 0x1d75fe66
CameraProjection 0x77143f40
SampDistress 0x28569b96
TonemapE 0x65cfa98c
TexNormalOpacity 0xe6f57674
UvNoise 0xe2f3af09
SampTearMap 0xde3b1437
WeatheringDirtGlobalroughness 0xea346b6c
WetnessHeight 0x7092235b
Colour 0x91e7b589
Shexxa 0xfeb6e51f
SubsurfaceIntensityMax 0x8a1e5e65
EnergyDistortionSpeed 0xf5830bf1
DetailMax 0x53fb2d87
AlphaAsDensity 0x8b157687
TexDirtMap 0xb53a31d
LerpDistScale 0x5affb4f9
PatternTiling 0x3f58127a
IriThicknessTextureless 0x17e19d4
MaskCenterRadius 0x7ab3b0b8
TexCoveringAlbedo 0x25f8894a
TexClearcoatRoughnessAoSpec 0xc7c6aa24
TexNormalXyAoRoughMap 0xe189d9fa
SampTextureMapVortex 0x61c541e1
SampAtmosphericScatteringTransmittance 0x217d8534
OutsideFalloff 0xfe426b02
LightEnabled 0x2de65e8a
NoiseOpacity 0x1d45907c
ScrollSpeedU 0x3d97565c
ColorMultDown 0x22218c9d
DistortStr 0x2d06fd63
TearColor 0xc47fe89f
GrainSpeed 0x6e7453a
AlphaThreshold 0xc8363eb
ReverseDepthfade 0xc76133d1
OutlineColor 0x999c5b7a
ColorEnd 0xeff0ea62
BulgeNormalIntensity 0xb359ff45
SampDiffuseMap 0xdf373ca7
WorldOverlayAmount 0xf1b2299d
ScorchMarksAmount 0x539977e9
Brightness 0x7bbee89
TexHologramPattern 0x76ade458
TexColorSpecularB 0x81573a18
RoughnessLerp 0xabba8688
PinchExp 0x65af2282
SampHologramPattern 0xc8ab1187
NormalStrength 0xc2e15ee9
Shinny 0xcdb14f27
OpacityExp 0xa75292c1
TexColorMap 0x517e6cbc
TexScreenVideoTextureB 0x41e2fd52
EmissiveAmount 0x20d0ead0
TexGeneratedHeightmapSlope 0xa0f4f569
ErodeTigthten 0x666f58a4
SampMinimapLut 0x8e53fd4b
SubsurfaceColorFromalbedo 0x52bd2535
TexBackgroundAlpha 0x1ba089bf
SampCraterTexture 0xbb79df25
BloodOverlayInvScale 0x49829745
AlbedoColorCuravture 0x5a1c6588
ScenarioOverlayAmountRight 0x42aceefe
SampCoveringNormal 0x19fb479a
OffsetTexChannel 0xd68b4b2a
DropSelectOverlayIntensity 0xaa0505c4
TonemapC 0x338fb230
InteresectDistance 0xa7a3f6a7
MinEmissive 0xe938de6
ClearcoatIntensityTextureless 0xc76e8aba
TexTex 0x907c1e41
ContextCamera 0xea353973
PanningSpeed 0xc7893ace
LightPosition 0x947d038a
ScenarioOverlayUvOffset 0xcd3c9608
GraphData 0xfb440ec5
FlipbookEndTime 0x7ec7348b
NoiseFresnelSubtract 0xdd4d173e
